,housing_median_age,total_rooms,long_lat_cluster,median_income_Power2,ocean_proximity_INLAND,ocean_proximity_NEAR OCEAN,ocean_proximity_INLAND_multiply_median_income_Power2,median_income_Power2_multiply_long_lat_cluster,median_house_value
1423,-1.0064436,-1.065952,0.1210816,-0.9819899,0.0,0.0,-0.0,-0.11890091,75000.0
1117,-0.037821658,-0.38327527,1.1032661,-0.69646394,1.0,0.0,-0.69646394,-0.76838505,93400.0
6651,0.9802747,-0.8512018,-1.0213981,-1.2689012,0.0,0.0,-0.0,1.2960533,500001.0
13170,-1.7469116,-0.4353677,0.1210816,-1.0101112,1.0,0.0,-1.0101112,-0.12230588,170800.0
2296,0.12091529,0.7258426,0.73212504,-1.1053777,1.0,0.0,-1.1053777,-0.8092747,74500.0
6060,-1.334286,2.1765234,-1.0213981,0.84989804,0.0,0.0,0.0,-0.8680842,282100.0
16845,-0.5998577,2.3218987,0.1210816,0.43087813,0.0,1.0,0.0,0.052171413,344500.0
7346,0.5922002,-0.6734399,-1.0213981,-0.7357834,0.0,0.0,-0.0,0.7515277,150000.0
11198,-0.19743578,-0.9750516,-1.0213981,-1.044054,0.0,0.0,-0.0,1.0663948,350000.0
1902,-1.0064436,0.63094,1.5516776,-0.021578766,1.0,0.0,-0.021578766,-0.03348329,134700.0
6100,0.51411223,-0.60256106,-1.0213981,0.83345664,0.0,0.0,0.0,-0.851291,168800.0
5101,1.5178846,-0.52499855,-1.0213981,-0.34843418,0.0,0.0,-0.0,0.35589,136100.0
6519,-0.5998577,0.6965469,-1.0213981,-1.0008632,1.0,0.0,-1.0008632,1.0222797,156300.0
3985,0.35740978,0.58458513,-1.0213981,1.1288714,0.0,0.0,0.0,-1.153027,248400.0
13631,0.27877948,-0.011122605,-1.0213981,-0.83196443,1.0,0.0,-0.83196443,0.84976685,89200.0
2695,-0.43834656,-0.61591285,1.3600512,-0.9709403,1.0,0.0,-0.9709403,-1.3205285,74300.0
12477,1.8225651,0.040574796,1.5516776,-1.6831212,1.0,0.0,-1.6831212,-2.6116614,90300.0
14824,1.8225651,-2.717272,1.3600512,-1.5389134,0.0,1.0,-0.0,-2.093001,118800.0
11744,-0.924826,0.74636614,1.5516776,0.94636506,1.0,0.0,0.94636506,1.4684534,237100.0
7448,0.8254944,0.01696637,-1.0213981,-0.50221276,0.0,0.0,-0.0,0.5129591,152200.0
15086,-0.43834656,0.3918684,1.3600512,-0.12455804,0.0,0.0,-0.0,-0.16940531,158900.0
11262,0.041660286,0.26827452,-1.0213981,-0.2751946,0.0,0.0,-0.0,0.28108323,190500.0
12611,0.19995128,0.6210022,1.5516776,0.5012486,1.0,0.0,0.5012486,0.77777624,160300.0
14339,1.8225651,-0.48555103,1.3600512,-0.9310272,0.0,1.0,-0.0,-1.2662445,215000.0
12488,1.5942142,-0.757989,1.5516776,-1.4460516,1.0,0.0,-1.4460516,-2.243806,93800.0
14666,0.51411223,0.023304239,1.3600512,0.30897138,0.0,1.0,0.0,0.4202169,174900.0
20516,1.1345036,0.19416918,1.5516776,-0.51873404,1.0,0.0,-0.51873404,-0.804908,86200.0
14409,-0.5190162,-0.06569939,1.3600512,-0.057700682,0.0,1.0,-0.0,-0.07847588,175000.0
15634,1.8225651,-0.20123446,0.1210816,-1.392803,0.0,0.0,-0.0,-0.1686428,243800.0
16012,1.8225651,-0.036495224,0.1210816,1.8395416,0.0,0.0,0.0,0.22273463,500001.0
12560,1.5178846,-1.1766813,1.5516776,-1.3899825,1.0,0.0,-1.3899825,-2.1568046,58200.0
6882,0.12091529,-0.09980048,-1.0213981,-0.7588904,0.0,0.0,-0.0,0.7751292,179400.0
14479,-0.8433539,0.63094,1.3600512,1.6855237,0.0,1.0,0.0,2.2923985,445700.0
14549,-0.8433539,-0.47184902,1.3600512,1.2532753,0.0,1.0,0.0,1.7045184,329300.0
10315,-0.8433539,-0.25336653,-1.0213981,0.968369,0.0,0.0,0.0,-0.9890902,213500.0
18415,-0.924826,0.46536112,0.1210816,0.8775402,0.0,0.0,0.0,0.10625397,250800.0
7529,0.35740978,-1.6361704,-1.0213981,-0.7760777,0.0,0.0,-0.0,0.79268426,88900.0
5578,0.74788505,-2.5413923,-1.0213981,-0.9417202,0.0,0.0,-0.0,0.9618712,200000.0
16908,0.4358511,0.40902242,0.1210816,2.457541,0.0,1.0,0.0,0.297563,500001.0
7159,0.74788505,-1.0776508,-1.0213981,-0.6790664,0.0,0.0,-0.0,0.69359714,145000.0
18254,0.5922002,-1.1314462,0.1210816,1.0985701,0.0,0.0,0.0,0.13301663,359000.0
19603,-0.11752352,-1.2347009,1.5516776,-1.1131278,1.0,0.0,-1.1131278,-1.7272155,82800.0
20297,0.27877948,0.6520463,-1.0213981,-0.65986735,0.0,1.0,-0.0,0.6739872,450000.0
3411,-0.35785517,1.2431135,-1.0213981,0.60955733,0.0,0.0,0.0,-0.6226007,166200.0
12855,0.5922002,-0.73456633,1.5516776,-1.0434749,1.0,0.0,-1.0434749,-1.6191367,78800.0
16061,1.5942142,-0.4240253,0.1210816,0.52399904,0.0,0.0,0.0,0.06344664,323100.0
6139,0.27877948,0.52849317,-1.0213981,0.17615233,0.0,0.0,0.0,-0.17992166,158400.0
18771,0.12091529,-0.8342527,1.1032661,-1.6910766,1.0,0.0,-1.6910766,-1.8657075,48100.0
4088,0.35740978,1.0218168,-1.0213981,0.5346394,0.0,0.0,0.0,-0.5460797,425900.0
13472,-1.8297834,-0.9750516,-1.0213981,0.8264512,1.0,0.0,0.8264512,-0.84413564,122400.0
15965,0.19995128,0.20108172,0.1210816,0.8782282,0.0,0.0,0.0,0.10633727,264100.0
14791,-0.037821658,-0.19848451,1.3600512,-0.76795626,0.0,1.0,-0.0,-1.0444598,135600.0
397,1.6704355,-0.9063296,0.1210816,0.23957458,0.0,0.0,0.0,0.029008074,216700.0
8897,0.27877948,-0.26949292,-1.0213981,-0.51183355,0.0,0.0,-0.0,0.5227858,353600.0
2766,-0.68086463,-0.086067334,1.3600512,-0.5371533,1.0,0.0,-0.5371533,-0.73055595,62800.0
6877,0.5922002,0.8786807,-1.0213981,-0.8433692,0.0,0.0,-0.0,0.8614157,185000.0
10950,0.8254944,-2.2779772,-1.0213981,0.050854553,0.0,0.0,0.0,-0.051942743,158000.0
5839,0.041660286,0.085042894,-1.0213981,0.55056274,0.0,0.0,0.0,-0.5623437,341200.0
11268,0.35740978,0.7073197,-1.0213981,0.11411586,0.0,0.0,0.0,-0.11655772,211400.0
7324,0.12091529,-0.32556787,-1.0213981,-0.9834952,0.0,0.0,-0.0,1.0045401,156100.0
15534,-1.4989794,0.679027,1.3600512,-0.06324677,0.0,0.0,-0.0,-0.086018845,190500.0
610,-0.68086463,1.1147217,0.1210816,0.77557456,0.0,0.0,0.0,0.09390781,188300.0
6744,1.1345036,-0.5110628,-1.0213981,0.46779785,1.0,0.0,0.46779785,-0.47780782,272600.0
8778,0.19995128,1.1705018,-1.0213981,0.3530009,0.0,0.0,0.0,-0.36055446,277900.0
827,0.51411223,-0.9038583,0.1210816,0.7249238,0.0,0.0,0.0,0.08777493,174100.0
9232,-1.4165713,0.918863,0.73212504,-0.05224388,1.0,0.0,-0.05224388,-0.038249053,74600.0
8957,-0.2775492,-1.0452522,-1.0213981,-0.972867,0.0,0.0,-0.0,0.9936845,340600.0
9241,-1.2521273,-0.64846903,0.73212504,0.5435229,1.0,0.0,0.5435229,0.39792672,111800.0
3669,1.1345036,-0.92865765,-1.0213981,-1.1421236,0.0,0.0,-0.0,1.1665628,161600.0
4817,1.5178846,-0.7357329,-1.0213981,-0.90655273,0.0,0.0,-0.0,0.9259512,123700.0
2806,0.041660286,0.7741194,0.73212504,0.3340677,1.0,0.0,0.3340677,0.24457933,84400.0
207,0.67012244,0.18232837,0.1210816,-1.1440654,0.0,0.0,-0.0,-0.13852526,132500.0
2021,1.8225651,-2.2122273,0.73212504,-1.7785294,1.0,0.0,-1.7785294,-1.3021059,52500.0
10208,0.4358511,-0.21504928,-1.0213981,0.97306603,0.0,0.0,0.0,-0.9938878,235600.0
12750,0.4358511,0.1886093,1.5516776,-1.1029273,1.0,0.0,-1.1029273,-1.7113876,116500.0
15058,-0.5998577,0.9224168,1.3600512,1.5103499,0.0,0.0,0.0,2.0541532,294700.0
4432,1.5942142,-0.77450085,-1.0213981,-0.9052005,0.0,0.0,-0.0,0.92457,114000.0
6566,0.8254944,0.33154207,-1.0213981,0.9123272,1.0,0.0,0.9123272,-0.9318492,207400.0
12566,1.5178846,0.77677333,1.5516776,-1.3028281,1.0,0.0,-1.3028281,-2.021569,86600.0
17712,-0.2775492,-0.41888905,0.1210816,0.96235704,0.0,0.0,0.0,0.11652373,231400.0
15702,1.8225651,0.92832094,0.1210816,1.4070965,0.0,0.0,0.0,0.1703735,500001.0
5702,0.67012244,-0.12238102,-1.0213981,0.9082418,0.0,0.0,0.0,-0.92767644,261300.0
14430,-0.2775492,-0.43433446,1.3600512,0.08406303,0.0,1.0,0.0,0.11433002,317100.0
17867,-0.19743578,-0.39136302,0.1210816,0.7636675,0.0,0.0,0.0,0.092466086,225800.0
15408,-1.0064436,0.68663085,1.3600512,-1.2436231,0.0,0.0,-0.0,-1.6913911,148800.0
18997,-1.0882025,0.49978024,0.1210816,1.2777739,1.0,0.0,1.2777739,0.1547149,151700.0
11998,0.041660286,-2.2932563,-1.0213981,-1.5389134,1.0,0.0,-1.5389134,1.5718431,164300.0
13512,0.9802747,-0.8841598,-1.0213981,-1.6292361,1.0,0.0,-1.6292361,1.6640986,67300.0
15957,1.8225651,-0.48343775,0.1210816,0.36064538,0.0,1.0,0.0,0.043667518,246200.0
19301,-0.5190162,-0.8126014,0.1210816,0.07111953,0.0,0.0,0.0,0.0086112665,233700.0
6294,-0.11752352,-0.3582011,-1.0213981,0.18857749,0.0,0.0,0.0,-0.19261268,131100.0
19334,-1.6641525,1.6349202,0.1210816,0.23583755,0.0,0.0,0.0,0.028555587,195100.0
12578,0.67012244,-0.12500748,1.5516776,-0.99786097,1.0,0.0,-0.99786097,-1.5483584,80600.0
8150,0.5922002,-0.19026098,-1.0213981,1.6252464,0.0,0.0,0.0,-1.6600236,254400.0
5777,-0.8433539,-0.28672102,-1.0213981,0.009799049,0.0,0.0,0.0,-0.01000873,177100.0
8569,-0.11752352,-0.53038037,-1.0213981,1.0465349,0.0,0.0,0.0,-1.0689287,500001.0
9438,-1.334286,0.45462906,0.73212504,-0.80528444,1.0,0.0,-0.80528444,-0.5895689,105000.0
14423,-0.037821658,-0.5607435,1.3600512,0.19602269,0.0,1.0,0.0,0.26660088,270000.0
4868,1.2114224,-0.830633,-1.0213981,-1.5534478,0.0,0.0,-0.0,1.5866886,275000.0
12824,-0.2775492,-0.81380004,1.5516776,0.74388856,1.0,0.0,0.74388856,1.1542752,135500.0
3372,0.35740978,0.66416097,-1.0213981,0.33121112,0.0,0.0,0.0,-0.3382984,191100.0
20611,-0.11752352,-0.2790448,1.5516776,-1.7529794,1.0,0.0,-1.7529794,-2.720059,47000.0
9816,0.8254944,-1.3576659,0.1210816,0.34595522,0.0,1.0,0.0,0.04188881,253800.0
16403,0.51411223,-1.5973969,1.5516776,-0.2384298,1.0,0.0,-0.2384298,-0.36996618,177100.0
3227,0.27877948,0.082023054,0.73212504,-1.7113073,1.0,0.0,-1.7113073,-1.252891,43100.0
4807,1.6704355,-0.9549072,-1.0213981,-0.30480927,0.0,0.0,-0.0,0.3113316,130300.0
6795,-0.35785517,1.0056549,-1.0213981,-0.67820925,0.0,0.0,-0.0,0.6927216,170000.0
12730,0.041660286,-0.8161989,1.5516776,1.01157,1.0,0.0,1.01157,1.5696305,265700.0
8911,0.041660286,-0.47816288,-1.0213981,-0.6751234,0.0,0.0,-0.0,0.6895697,375000.0
10380,-1.5815074,1.1014142,-1.0213981,0.13461012,0.0,0.0,0.0,-0.13749051,196700.0
1448,0.4358511,-0.8512018,0.1210816,0.35814273,0.0,0.0,0.0,0.043364495,161000.0
4463,0.51411223,0.09779453,-1.0213981,-0.49600217,0.0,0.0,-0.0,0.50661564,129300.0
19432,-1.4165713,-0.40253472,1.5516776,0.43165973,1.0,0.0,0.43165973,0.6697967,162800.0
6297,-1.0882025,2.7382107,-1.0213981,0.9011219,0.0,0.0,0.0,-0.9204042,226200.0
4601,-0.35785517,-2.1971602,-1.0213981,-1.3921353,0.0,0.0,-0.0,1.4219242,225000.0
7839,1.0574557,-1.375952,-1.0213981,0.19424929,0.0,0.0,0.0,-0.19840585,145800.0
5561,0.67012244,-0.300229,-1.0213981,-1.1131278,0.0,0.0,-0.0,1.1369466,175900.0
4726,1.8225651,-0.5014632,-1.0213981,0.07111953,0.0,0.0,0.0,-0.07264135,440900.0
6167,0.51411223,-1.4816217,-1.0213981,0.45300257,0.0,0.0,0.0,-0.46269596,161300.0
20429,-1.4165713,0.6607806,-1.0213981,1.7039865,0.0,0.0,0.0,-1.7404486,361900.0
17058,0.90295583,1.1688781,0.1210816,0.0026905825,0.0,1.0,0.0,0.00032578004,361900.0
8319,0.27877948,0.8146568,-1.0213981,-1.5868238,0.0,0.0,-0.0,1.6207788,100000.0
308,1.7465514,0.005801727,0.1210816,-0.2138862,0.0,0.0,-0.0,-0.025897684,120100.0
8804,-0.5190162,3.0288472,-1.0213981,1.8732581,0.0,1.0,0.0,-1.9133422,500001.0
18209,-0.5998577,2.6211367,0.1210816,0.5279898,0.0,0.0,0.0,0.06392985,267400.0
3612,0.51411223,-0.561835,-1.0213981,0.6637672,0.0,0.0,0.0,-0.6779705,177200.0
4234,1.8225651,-0.12238102,-1.0213981,1.5578645,0.0,0.0,0.0,-1.5911999,500001.0
2255,-1.0064436,1.6147166,0.73212504,-0.32072166,1.0,0.0,-0.32072166,-0.23480836,80800.0
978,-1.2521273,1.473966,0.1210816,1.5927794,0.0,0.0,0.0,0.19285628,393200.0
804,0.35740978,-0.88661534,0.1210816,0.19670428,0.0,0.0,0.0,0.02381727,158200.0
16682,0.8254944,-0.40457222,0.73212504,-0.5252119,0.0,0.0,-0.0,-0.38452077,195200.0
14623,1.0574557,-1.041385,1.3600512,-1.0397506,0.0,1.0,-0.0,-1.414114,145200.0
8083,0.4358511,0.47209477,-1.0213981,-0.91272044,0.0,1.0,-0.0,0.9322509,204800.0
1475,-0.68086463,0.99823815,0.1210816,-0.4325841,0.0,0.0,-0.0,-0.052377976,166700.0
11842,-0.68086463,-0.7404036,1.5516776,0.009799049,1.0,0.0,0.009799049,0.015204965,96600.0
10245,-0.2775492,0.6775957,-1.0213981,1.6390498,0.0,0.0,0.0,-1.6741222,299200.0
11106,0.19995128,0.77323294,-1.0213981,0.52222866,0.0,0.0,0.0,-0.53340334,187100.0
4059,0.74788505,-0.6963456,-1.0213981,-0.48027825,0.0,0.0,-0.0,0.4905553,304500.0
8883,1.8225651,-0.56292695,-1.0213981,1.7862432,0.0,0.0,0.0,-1.8244654,500001.0
11341,-1.0882025,0.25378796,-1.0213981,0.050488528,0.0,0.0,0.0,-0.051568884,141600.0
504,1.2114224,-1.144692,0.1210816,-1.4653283,0.0,0.0,-0.0,-0.1774243,147900.0
18530,1.4414437,0.22364107,0.1210816,-0.77086323,0.0,1.0,-0.0,-0.09333735,229400.0
8373,-0.5998577,0.4189738,-1.0213981,-1.7955718,0.0,0.0,-0.0,1.8339936,157500.0
8742,-0.5190162,0.2929266,-1.0213981,1.5992129,0.0,0.0,0.0,-1.633433,379500.0
13615,0.8254944,0.82022214,-1.0213981,-1.1536793,1.0,0.0,-1.1536793,1.1783657,87500.0
6004,0.5922002,0.5349042,-1.0213981,-0.5391161,1.0,0.0,-0.5391161,0.55065215,124000.0
16661,0.67012244,-0.73456633,0.73212504,-0.21810114,0.0,1.0,-0.0,-0.15967731,225000.0
10849,-1.1700983,0.3495066,-1.0213981,0.35249862,0.0,0.0,0.0,-0.3600414,180900.0
19784,-1.1700983,-1.5840526,1.1032661,-0.94037384,1.0,0.0,-0.94037384,-1.0374826,102100.0
5216,1.1345036,-1.4657441,-1.0213981,-1.9642107,0.0,0.0,-0.0,2.006241,90400.0
8056,0.12091529,0.8253374,-1.0213981,-1.0687283,0.0,1.0,-0.0,1.0915971,151900.0
5686,0.4358511,0.20590153,-1.0213981,1.2690703,0.0,0.0,0.0,-1.2962259,367100.0
9313,0.67012244,1.2755321,0.1210816,1.2952092,0.0,0.0,0.0,0.15682599,487800.0
16884,0.5922002,1.5974352,0.1210816,1.7926577,0.0,1.0,0.0,0.21705787,500001.0
4119,1.8225651,0.9341981,-1.0213981,1.104033,0.0,0.0,0.0,-1.1276572,293900.0
9848,-0.924826,1.3448069,0.1210816,1.3471297,0.0,1.0,0.0,0.16311261,339100.0
6356,-1.5815074,-1.304689,-1.0213981,0.2916632,1.0,0.0,0.2916632,-0.29790422,179600.0
6623,1.8225651,-0.3601958,-1.0213981,0.30614057,0.0,0.0,0.0,-0.3126914,175000.0
8881,0.12091529,1.0323591,-1.0213981,0.43898213,0.0,0.0,0.0,-0.4483755,435100.0
14943,-0.924826,0.9889103,1.3600512,-0.6860941,0.0,0.0,-0.0,-0.93312305,158300.0
8667,0.27877948,-0.020072676,-1.0213981,1.136822,0.0,1.0,0.0,-1.1611478,500001.0
17677,-1.0064436,0.56910104,0.1210816,-0.5935634,0.0,0.0,-0.0,-0.071869604,127900.0
9716,-1.8297834,2.367977,0.1210816,0.18823542,0.0,0.0,0.0,0.022791846,168900.0
2225,-0.8433539,0.46198347,0.73212504,1.7493776,1.0,0.0,1.7493776,1.2807631,188300.0
12600,0.9802747,0.7513351,1.5516776,-1.1049693,1.0,0.0,-1.1049693,-1.714556,73500.0
5705,0.35740978,-0.2580951,-1.0213981,1.0554174,0.0,0.0,0.0,-1.0780013,326600.0
16646,0.27877948,-1.3199519,0.73212504,-0.8134726,0.0,1.0,-0.0,-0.5955637,165900.0
349,1.2114224,-0.8976891,0.1210816,-0.99711,0.0,0.0,-0.0,-0.120731674,88800.0
10509,-1.5815074,0.9559035,-1.0213981,1.5194703,0.0,0.0,0.0,-1.5519841,318300.0
16810,0.27877948,0.783385,0.1210816,-0.018625021,0.0,1.0,-0.0,-0.0022551473,232400.0
3027,0.4358511,-0.63607174,0.73212504,-1.0194271,1.0,0.0,-1.0194271,-0.7463481,26600.0
11703,-1.0064436,-0.08009798,-1.0213981,1.2826525,0.0,0.0,0.0,-1.3100988,321600.0
10426,-1.8297834,-1.2455953,-1.0213981,0.73591757,0.0,1.0,0.0,-0.75166476,220700.0
2899,0.51411223,-2.5467062,0.73212504,-1.3303967,1.0,0.0,-1.3303967,-0.9740167,47500.0
18565,-0.924826,0.3799056,0.1210816,-0.8979275,0.0,0.0,-0.0,-0.1087225,151700.0
3401,0.041660286,0.593276,-1.0213981,-0.3125106,0.0,0.0,-0.0,0.31919774,230200.0
12637,-0.35785517,0.1934752,1.5516776,-0.20175408,1.0,0.0,-0.20175408,-0.31305727,67300.0
14276,0.74788505,-0.6304562,1.3600512,-1.6457804,0.0,1.0,-0.0,-2.2383456,80200.0
10642,0.74788505,-0.30410594,-1.0213981,0.40738106,0.0,0.0,0.0,-0.41609824,433300.0
5887,0.8254944,-1.9200628,-1.0213981,-0.9648212,0.0,0.0,-0.0,0.98546654,17500.0
5505,-0.43834656,1.4813612,-1.0213981,0.57722014,0.0,0.0,0.0,-0.58957154,366900.0
3542,-0.68086463,1.8786247,-1.0213981,2.1076794,0.0,0.0,0.0,-2.1527796,500001.0
12497,1.8225651,0.6607806,1.5516776,0.6881234,1.0,0.0,0.6881234,1.0677457,233800.0
7386,0.12091529,-1.3717251,-1.0213981,-1.3367865,0.0,0.0,-0.0,1.3653911,105100.0
659,0.5922002,-1.1806997,0.1210816,0.33932534,0.0,0.0,0.0,0.041086055,191500.0
19954,0.74788505,0.6339056,0.73212504,-0.75983155,1.0,0.0,-0.75983155,-0.5562917,67000.0
1236,-1.2521273,1.1498699,1.5516776,-0.6862657,1.0,0.0,-0.6862657,-1.0648631,123500.0
18972,-2.2457302,-0.03072542,0.1210816,0.9859153,1.0,0.0,0.9859153,0.1193762,191300.0
14907,0.19995128,1.3080212,1.3600512,0.44681126,0.0,1.0,0.0,0.60768616,160100.0
5952,0.12091529,1.138593,-1.0213981,-0.38768998,1.0,0.0,-0.38768998,0.39598578,192100.0
15861,1.8225651,0.76300234,0.1210816,0.12841323,0.0,0.0,0.0,0.015548479,253700.0
9214,0.041660286,-0.08692203,0.73212504,-1.3343546,1.0,0.0,-1.3343546,-0.97691447,79200.0
17000,-0.43834656,1.8597438,0.1210816,1.1487561,0.0,0.0,0.0,0.13909324,391000.0
18662,-0.76203185,1.6717628,0.1210816,0.74033386,0.0,1.0,0.0,0.0896408,283500.0
13070,-1.4989794,0.23578277,1.5516776,-0.84923774,1.0,0.0,-0.84923774,-1.3177432,112500.0
18737,-1.0064436,0.4687334,1.1032661,-1.3399001,1.0,0.0,-1.3399001,-1.4782665,81600.0
10259,-0.8433539,-2.1871378,-1.0213981,0.71410894,0.0,0.0,0.0,-0.7293895,187500.0
1412,1.2114224,0.06682626,0.1210816,0.7365706,0.0,0.0,0.0,0.08918515,232100.0
18327,1.8225651,-0.25998986,0.1210816,2.29449,0.0,0.0,0.0,0.27782053,500001.0
14136,0.4358511,-0.15507852,1.3600512,-0.4078705,0.0,1.0,-0.0,-0.55472475,129200.0
2094,-0.43834656,0.9341981,0.73212504,-1.6372485,1.0,0.0,-1.6372485,-1.1986706,50600.0
16091,1.3648887,0.22364107,0.1210816,-0.23264565,0.0,1.0,-0.0,-0.028169107,112500.0
12289,0.90295583,0.13531753,1.3600512,-1.3038286,1.0,0.0,-1.3038286,-1.7732736,73200.0
14271,0.74788505,-1.4298794,1.3600512,-1.8758376,0.0,1.0,-0.0,-2.551235,65700.0
6335,-0.2775492,0.46761107,-1.0213981,1.3534344,0.0,0.0,0.0,-1.3823953,311100.0
2604,-0.5190162,0.7049857,1.1032661,-0.8770056,0.0,1.0,-0.0,-0.96757054,119400.0
14508,-1.9958508,1.1187878,1.3600512,0.28464335,0.0,1.0,0.0,0.38712952,267000.0
19630,-0.8433539,0.48435032,1.5516776,-1.5254885,1.0,0.0,-1.5254885,-2.3670664,156900.0
13478,-0.19743578,-0.6963456,-1.0213981,-0.40197867,1.0,0.0,-0.40197867,0.41058025,96800.0
12425,-1.4989794,-0.3492487,1.3600512,-1.5177273,1.0,0.0,-1.5177273,-2.0641868,65400.0
17484,-0.19743578,-0.32164827,0.73212504,-0.35193926,0.0,1.0,-0.0,-0.25766355,198400.0
1793,1.4414437,0.79083693,0.1210816,0.33628646,0.0,0.0,0.0,0.0407181,274500.0
18568,1.5178846,-0.2618866,0.1210816,0.052904908,0.0,0.0,0.0,0.006405811,194500.0
6417,1.2114224,0.28260386,-1.0213981,-0.3162414,1.0,0.0,-0.3162414,0.32300836,185600.0
6888,0.12091529,-0.5185565,-1.0213981,-0.8106586,0.0,0.0,-0.0,0.8280051,187500.0
6207,0.35740978,-0.35919815,-1.0213981,1.062022,0.0,0.0,0.0,-1.0847472,274700.0
17995,0.35740978,0.016171997,0.1210816,1.7117137,0.0,0.0,0.0,0.20725703,283000.0
6002,0.67012244,0.1251249,-1.0213981,-0.47722137,1.0,0.0,-0.47722137,0.487433,139200.0
8719,-0.11752352,0.6965469,-1.0213981,1.0336009,0.0,0.0,0.0,-1.055718,379000.0
6017,0.8254944,0.5407568,-1.0213981,0.276028,1.0,0.0,0.276028,-0.28193447,131300.0
16405,1.2114224,-1.7406795,1.5516776,-0.10780826,1.0,0.0,-0.10780826,-0.16728367,125000.0
16219,-0.43834656,0.48490334,1.5516776,-0.39558718,1.0,0.0,-0.39558718,-0.6138238,113700.0
17868,-0.76203185,0.058390226,0.1210816,0.88559383,0.0,0.0,0.0,0.10722911,255100.0
13942,-1.2521273,1.2951258,-1.0213981,1.6267858,1.0,0.0,1.6267858,-1.6615958,253800.0
8933,0.041660286,-0.33343035,-1.0213981,0.061740488,0.0,0.0,0.0,-0.06306162,500000.0
7105,0.51411223,-0.13291311,-1.0213981,0.62716174,0.0,0.0,0.0,-0.6405818,206300.0
16620,-0.8433539,0.7754477,0.73212504,0.17629,0.0,1.0,0.0,0.12906633,279400.0
12903,-0.5190162,-0.28383878,1.5516776,-0.7649633,1.0,0.0,-0.7649633,-1.1869764,142200.0
4104,0.8254944,-0.45197114,-1.0213981,0.5269645,0.0,0.0,0.0,-0.5382405,385900.0
12541,1.8225651,-0.28479904,1.5516776,0.105574444,1.0,0.0,0.105574444,0.1638175,137800.0
4132,1.8225651,0.26499715,-1.0213981,-0.21810114,0.0,0.0,-0.0,0.22276808,214200.0
7400,0.4358511,-1.2510542,-1.0213981,-1.4584458,0.0,0.0,-0.0,1.4896537,105900.0
15460,-1.4165713,0.32591715,1.3600512,0.3655165,0.0,1.0,0.0,0.49712116,87500.0
9835,0.5922002,-1.346454,0.1210816,-0.08555137,0.0,0.0,-0.0,-0.010358697,339100.0
2985,1.0574557,-1.0208337,0.73212504,-1.5941727,1.0,0.0,-1.5941727,-1.1671338,39400.0
10241,-0.924826,0.6837844,-1.0213981,0.12099409,0.0,0.0,0.0,-0.12358313,265500.0
19424,-0.2775492,-2.3944123,1.5516776,0.054587148,1.0,0.0,0.054587148,0.08470166,131300.0
2497,-0.8433539,-1.4284508,0.73212504,-0.8522132,1.0,0.0,-0.8522132,-0.62392664,112500.0
18159,-0.037821658,0.28130808,0.1210816,1.4287454,0.0,0.0,0.0,0.17299478,411900.0
13093,-0.5998577,0.41838825,1.5516776,0.66282123,1.0,0.0,0.66282123,1.0284848,125500.0
17765,1.1345036,-0.53038037,0.1210816,-0.5956178,0.0,0.0,-0.0,-0.07211835,153300.0
